Código;GT;Autores;Instituciones
8516 ;22. Sociología del Ocio y el Deporte;1Antonio Amador Arellano;1 - Escuela Nacional de Antropología e Historia
8517 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Valeria de Oliveira Albuquerque;1 - Pontificia Universidade Católica de São Paulo (PUC SP)
8518 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Renata Baboni Renata;1 - Universidade Federal de São Carlos
8519 ;20. Sociología de la Religión;1Sheila Accioly;1 - UFPB
8520 ;26. Sociología de los Cuerpos y las Emociones;1Álvaro Jiménez;1 - Centre de Recherche Médecine, Sciences, Santé, Société (Cermes3) - Université Paris Descartes/EHESS
8521 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Pedro Jorge Chaves Murão; 1Gislane Santos; 2Jesus Marmanillo Pereira";1 - UNIVERSIDADE ESTADUAL DO CEARÁ, 2 - Universidade Federal do Maranhão
8524 ;01. Ciencia, Tecnologías e Innovación;1Cristian Ariel Silva;1 - Universidad Nacional de Quilmes
8525 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Marinara Ferreira Calisto; 1Zina Angélica Cáceres Benavides; 1Marcelo Inácio Ferreira Ferraz; 1Aniram Lins Cavalcante";1 - Universidade Estadual de Santa Cruz (UESC)
8526 ;01. Ciencia, Tecnologías e Innovación;"1Juan José Rodríguez-Maulén; 2Mariana Toledo; 3Judith Espinosa; 1Eduardo Henríquez-Tejo; 2Karina Bravo";1 - Centro i~mar, Universidad de Los Lagos, 2 - Proyecto Asociativo Regional (PAR) Explora Los Lagos, 3 - Laboratorio de Ciencias, Universidad de Los Lagos
8527 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Giovanna Calvo;1 - Colegio de Sociólogos
8528 ;19. Acciones Colectivas y Movimientos Sociales;1Nicolas Sebastian Cifuentes Espinosa;1 - Universidad de Valparaíso
8529 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Cleyton Monte;1 - UFC
8530 ;01. Ciencia, Tecnologías e Innovación;1Marcelo Charlin de Groote;1 - Universidad de Valparaíso
8531 ;18. Salud y Seguridad Social;1Paula Tagliabue;1 - UNAJ/INEVH-CONICET
8532 ;06. Imaginarios Sociales y Memoria;"1JOSE FERNANDO JARAMILLO GIRALDO; 2ANGELA MARIA LONDOÑO JARAMILLO; 3JUAN CAMILO GAVIRIA; 4SANTIAGO RAMIREZ";1 - UNIVERSIDAD SANTO TOMAS - SEDE MEDELLIN, 2 - UNIVERSIDAD SANTO TOMAS-SEDE MEDELLIN, 3 - FUNDACIÓN AULAS DE PAZ, 4 - RIOS
8534 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Mónica De Martino; 2Alejandra Valdez; 3Maia Calvo";1 - UDELAR - FCS - DTS, 2 - MIDES, 3 - UDELAR - FCS - ICP
8535 ;26. Sociología de los Cuerpos y las Emociones;"1Gisela Eliana Valenzuela González; 1Paz Barrientos Romero";1 - universidad alberto hurtado
8536 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Nicolas Sebastian Cifuentes Espinosa;1 - Universidad de Valparaíso
8537 ;05. Desarrollo Rural y cuestión agraria;"1Cecilia Zenteno Lawrence; 2Flavia Charão Marques";1 - UFRGS/Wageningen University, 2 - Universidade Federal do Rio Grande do Sul (UFRGS)
8538 ;08. Desigualdad, Pobreza y Exclusión Social;1María Reneé Nogales Zubieta;1 - Universidad Mayor de San Simón CESU
8539 ;17. Trabajo y Restructuración Productiva;1Verónica Vogelmann;1 - Conicet- UNR
8540 ;13. Teoría Social y Pensamiento Latinoamericano;1Vivian Urquidi;1 - Universidade de São Paulo
8543 ;17. Trabajo y Restructuración Productiva;1Paula Tagliabue;1 - UNAJ/INEVH-CONICET
8544 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Leonardo Esteban Piña Cabrera; 2Celia Arbón Vaz";1 - universidad alberto hurtado, 2 - Ministerio de Desarrollo Social
8546 ;26. Sociología de los Cuerpos y las Emociones;1Daiana Camargo;1 - Universidad Nacional de La Plata
8548 ;16. Universidad Latinoamericana: interpelaciones y desafíos;"1Julia Del Carmen; 1Mahuén Gallo";1 - Universidad Nacional de Río Negro
8549 ;15. Metodología y Epistemología de las Ciencias Sociales;"1José María Vitaliti; 1Graciela Beatriz Ochoa; 1Romina Alejandra Funes; 1Karen Noel Castillo; 1Cristóbal Ignacio Jara Silva; 1Carlo Nicolás Bruno Sottile Cardona";1 - Universidad del Aconcagua
8551 ;08. Desigualdad, Pobreza y Exclusión Social;1Jenny Alejandra Hernández Mora;1 - Pontificia Universidad Javeriana
8552 ;19. Acciones Colectivas y Movimientos Sociales;"1NICOLAS ARRIAGADA SEGUEL; 1JAMES ACUÑA HENRIQUEZ; 1MAITE MORAGA IRRIBARRA; 1ALEJANDRA RAMIREZ FERNANDEZ";1 - Universidad de Concepción
8553 ;08. Desigualdad, Pobreza y Exclusión Social;1Suzana Maia;1 - UFRB
8554 ;01. Ciencia, Tecnologías e Innovación;1Renato Moretti Tapia;1 - universidad alberto hurtado
8555 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Adriana María Isabel Zaffaroni; 1María Celeste Juarez; 1Fabiana Ramona López";1 - Universidad Nacional de Salta
8558 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Romina Martinelli Martínez;1 - FCS - Udelar
8560 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Patrícia Araújo;1 - Universidade Federal de Pernambuco / Recife / PE
8561 ;24. Sociología de la Educación y Políticas Educativas;"1María Martínez Pereira; 2Ramón Servín Ríos; 3Sara García; 4David Ayala";1 - Universidad Católica de Asunción - Facultad de Filosofía y Ciencias Humanas, 2 - Universidad Nacional de Asunción- Facultad de Filosofía, 3 - Universidad Nacional de Asunción-Facultad de Filosofía, 4 - Universidad Católica de Asunción
8562 ;16. Universidad Latinoamericana: interpelaciones y desafíos;"1Paulo Alberto dos Santos Vieira; 2Priscila Martins Medeiros";1 - Universidade do Estado de Mato Grosso, 2 - Universidade Federal de São Carlos
8563 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Wendella Sara Costa da Silva; 1Moisés Alberto Calle Aguirre";1 - UFRN
8565 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Camila Rodrigues da Silva; 2Luís Felipe Aires Magalhães";1 - Observatório das Migrações de São Paulo, 2 - PUC-SP
8567 ;06. Imaginarios Sociales y Memoria;"1ROCHA Nilton José dos Reis; 2ALMEIDA Ludmila Pereira De; 2CHIARELI Jéssica Estely";1 - Universidade Federal de Goiás/ CES-Coimbra, 2 - Universidade Federal de Goiás
8568 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1José Arturo Huaytalla Quispe;1 - Área de Seguridad Ciudadana del Instituto de Defensa Legal
8570 ;17. Trabajo y Restructuración Productiva;"1Carlos Fernando Torres Oviedo; 1Luiza Araujo Damboriarena; 1Fernando Nichterwitz Scherer";1 - Universidade Federal do Rio Grande do Sul
8571 ;08. Desigualdad, Pobreza y Exclusión Social;"1Mario Arturo Tellez Rojas; 2Liliana Mey Len Rivera Fong";1 - Instituto de Investigaciones Sociales-UNAM, 2 - UNAM
8572 ;26. Sociología de los Cuerpos y las Emociones;1Antonio Amador Arellano;1 - Escuela Nacional de Antropología e Historia
8573 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Glaucia Assis;1 - Universidade do Estado de Santa Catarina-UDESC
8574 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Marciele Agosta de Vasconcellos;1 - Universidade Federal do Rio Grande do Sul - UFRGS
8575 ;10. Estudios políticos, Sociojurídicos e Instituciones;"1Elizabeth Amador Márquez; 1Rubén Ibarra Reyes";1 - Universidad Autónoma de Zacatecas
8576 ;18. Salud y Seguridad Social;1Thales Speroni;1 - Universitat Autònoma de Barcelona & Universidade Federal do Rio Grande do Sul
8577 ;06. Imaginarios Sociales y Memoria;1Helena Bonetto;1 - Universidade Federal do Rio Grande do Sul
8578 ;10. Estudios políticos, Sociojurídicos e Instituciones;"1Mónica De Martino; 2Carmen Verde Diego";1 - UDELAR - FCS - DTS, 2 - Universidad de Vigo
8579 ;19. Acciones Colectivas y Movimientos Sociales;"1Edinéa Alcântara; 2Ana Cláudia Silva; 2Lucas Furtunato";1 - IFPE, 2 - UFPE
8581 ;24. Sociología de la Educación y Políticas Educativas;"1Fernanda Saforcada; 1Carolina Ambao; 1Andrea Rozenberg";1 - Universidad de Buenos Aires
8582 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Lourdes Yessenia Cabrera Martínez; 1Ricardo Francisco Ureña López";1 - Universidad Técnica de Cotopaxi
8583 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Paula Ferreira Poncioni;1 - UFRJ
8584 ;19. Acciones Colectivas y Movimientos Sociales;1Lourdes Eddy Flores Bordais;1 - Universidad Federal de Sao Carlos
8585 ;13. Teoría Social y Pensamiento Latinoamericano;1Marco Velázquez Vergara;1 - Universidad Autónoma de la Ciudad de México
8586 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Júlio César Baldasso; 1Melina Mörschbächer";1 - Universidade Federal do Rio Grande do Sul
8587 ;08. Desigualdad, Pobreza y Exclusión Social;"1María Guadalupe Ortiz Gómez; 2Germán Reynaldo Velasco Martínez";1 - CONACYT-Ecosur, 2 - ECOSUR
8589 ;05. Desarrollo Rural y cuestión agraria;1Flor Argott Cisneros;1 - Universidad Autónoma Chapingo
8590 ;17. Trabajo y Restructuración Productiva;"1Juliana Gouveia Alves da Silva; 2Ana Maria de BArros";1 - Faculdade Maurício de Nassau, 2 - UFPE
8591 ;24. Sociología de la Educación y Políticas Educativas;"1Ana Maria Morais Costa; 1Daiane Duprat Serrano; 1Lucas Súllivam Marques Leite; 1Eliane Anselmo da Silva; 1Guilherme Paiva de Carvalho Martins";1 - UERN
8593 ;24. Sociología de la Educación y Políticas Educativas;"1Catalina Andrea Garrido Higuera; 2Beatriz Hasbún Held; 2Verónica Pizarro Torres";1 - Universidad de la Frontera, 2 - Universidad de Chile
8594 ;20. Sociología de la Religión;1Raúl Elgueta Rosas;1 - Instituto de Estudios Avanzados. Universidad de Santiago de Chile
8595 ;17. Trabajo y Restructuración Productiva;1YOLIMA PEREZ CAPERA;1 - Universidad Autónoma de Zacatecas
8597 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Cristopher Arturo Urbina Yáñez; 2Claudia Alejandra Calquín Donoso";1 - Instituto de la Comunicación e Imagen, Universidad de Chile, 2 - Universidad Central
8598 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Morgana Sampaio;1 - UFC
8599 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Diana Consuelo Martínez Giraldo;1 - Universidad de Antioquia
8600 ;10. Estudios políticos, Sociojurídicos e Instituciones;"1MARTIM MORAES JR; 1CLAITON PORTILHO";1 - PUCRS
8602 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Ronald Céspedes;1 - Carrera de Sociología/Universidad Mayor de San Francisco Xavier de Chuquisaca
8603 ;18. Salud y Seguridad Social;1Celia Draganchuk;1 - Universidad nNcional de Misiones
8604 ;18. Salud y Seguridad Social;"1Bruno Silva Kauss; 1Andréa Fachel Leal";1 - Universidade Federal do Rio Grande do Sul - UFRGS
8605 ;13. Teoría Social y Pensamiento Latinoamericano;1Guillermo José Maqueda;1 - Departamento de Ciencias Políticas y Sociales. Facultad de Derecho y Ciencias Sociales. Universidad Nacional del Comahue.
8606 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1claudia alejandra calquin donoso; 1rodrigo reinaldo guerra arrau; 1sebastian vasquez";1 - UNIVERSIDAD CENTRAL DE CHILE
8607 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Luzihê Mendes Martins; 1Fabiana Pereira Rosa; 1Juliane Danielle dos Santos; 1Monique Taísa Wilborn; 1Victor Hoffmann Moreira";1 - UNICNEC OSORIO
8608 ;08. Desigualdad, Pobreza y Exclusión Social;1JAMILLY RODRIGUES DA CUNHA JAMILLY;1 - Universidade Federal de Pernambuco
8609 ;24. Sociología de la Educación y Políticas Educativas;"1Alayde Maria Pinto Digiovanni; 2Marilene Proença Rebello de Souza";1 - Universidade Estadual do Centro-Oeste, 2 - Universidade de São Paulo
8610 ;13. Teoría Social y Pensamiento Latinoamericano;1Nathaly Mancilla Órdenes;1 - Universidade de Brasília
8611 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Andrija Oliveira Almeida; 1Mariana Thorstensen Possas";1 - UFBA
8612 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1José Alberto Castillo Estrada; 1Diego Gabriel Manrique Orellana; 1Luis Fernando García Cristiani";1 - Universidad de San Carlos de Guatemala
8614 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Wilza Gomes Reis Lopes; 1Silvia Maria Santana Andrade Lima; 1Karenina Cardoso Matos; 1Nicia Bezerra Formiga Leite";1 - Universidade Federal do Piauí
8615 ;Panel;"1Laura Sosa; 1Andrea Mirc; 1Araí Acuña; 2Sonia Marsela Rojas Campos; 3Andrea Gaviglio; 1Paula Mara Danel; 1Laura Otero Zúcaro; 1Daniela Sala; 1Emilio Saenz; 4Brenda Araceli Bustos García";1 - UNLP, 2 - UCENTRAL, 3 - UNQ, 4 - UANL
8616 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Marcela Sgammini; 1Fernanda Manavella";1 - Facultad de Artes, UNCórdoba
8617 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Luisa Godoy Pitanga;1 - PPGSA -UFRJ
8618 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1MARIA SOLEDAD HERRERA PONCE; 1MARIA BEATRIZ FERNANDEZ LORCA; 1CARMEN BARROS LEZAETA";1 - Pontificia Universidad Católica de Chile
8619 ;08. Desigualdad, Pobreza y Exclusión Social;"1Aparecida Costa Reis; 1Ludmila Pereira de Almeida";1 - UFG - Universidade Federal de Goiás
8620 ;26. Sociología de los Cuerpos y las Emociones;1Janayna Emídio;1 - Universidade Federal de Pernambuco
8621 ;19. Acciones Colectivas y Movimientos Sociales;1Víctor Fernández;1 - Universdad de Santiago. IDEA
8622 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1MARIA SOLEDAD HERRERA PONCE; 1MARIA BEATRIZ FERNANDEZ LORCA; 1RAUL PEDRO ELGUETA ROSAS";1 - Pontificia Universidad Católica de Chile
8623 ;15. Metodología y Epistemología de las Ciencias Sociales;1claudia alejandra calquin donoso;1 - UNIVERSIDAD CENTRAL DE CHILE
8624 ;06. Imaginarios Sociales y Memoria;"1Rodrigo Schames Isoppo; 1Marcelo Arioli Heck";1 - Universidade Federal do Rio Grande do Sul (UFRGS)
8625 ;18. Salud y Seguridad Social;1Matilde Inés López Schwedt;1 - Facultad de Ciencias Sociales. Universidad de la República
8626 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Adriana De la Fuente Arce;1 - Universidad de Guadalajara
8628 ;12. sociología de la cultura, arte e interculturalidad;1Cristina Matos;1 - UFPB
8629 ;12. sociología de la cultura, arte e interculturalidad;1Luis Fernando Arteaga Mendoza;1 - Pontifica Universidad Católica del Perú
8630 ;20. Sociología de la Religión;1Renata Marinho Paz;1 - Universidade Regional do Cariri
8631 ;06. Imaginarios Sociales y Memoria;"1Cristina Maranhão; 2Silvana Martinho";1 - SENAC-SP, 2 - PUC-SP
8632 ;26. Sociología de los Cuerpos y las Emociones;1Camargo Silvio;1 - Unicamp
8634 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Stela Rosa;1 - Universidade Federal de Santa Catarina
8635 ;08. Desigualdad, Pobreza y Exclusión Social;"1Jhomelin Milagros Flores Bordais; 1Silvia Lima de Aquino; 1Andreia da Silva Moassab";1 - Universidad Federal de Integración Latinoamericana
8637 ;06. Imaginarios Sociales y Memoria;"1Diana Isabel Molina Rodriguez; 2Natalia Marisol Villarreal Mera; 2Santiago Guerrero Zambrano";1 - Universidad de Nariño - Universidad Cooperativa de Colombia, 2 - Universidad de Nariño
8638 ;05. Desarrollo Rural y cuestión agraria;1Diego Abelardo Cortes Aldana;1 - Universidad Nacional de Colombia
8639 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Cristina Matos; 1Tereza Queiroz";1 - UFPB
8640 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Alba Maria Pinho de Carvalho; 2Eliana Costa Guerra";1 - Universidade Federal do Ceará- UFC, 2 - Universidade Federal do Rio Grande do Norte- UFRN
8641 ;13. Teoría Social y Pensamiento Latinoamericano;1Carlos Roberto Winckler;1 - Universidade de Caxias do Sul
8642 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1ELIDA BRAGA;1 - UFS
8644 ;06. Imaginarios Sociales y Memoria;1João Paulo Nascimento de Lucena;1 - Universidade Federal de Pernambuco
8647 ;12. sociología de la cultura, arte e interculturalidad;"1Ingrid Rodrigues Cirino; 2Caio Martiniano de Brito Baima";1 - Universidade Federal da Paraíba, 2 - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE
8649 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Flávia de Faria Gomes; 1Christian Luiz da Silva";1 - Universidade Tecnológica Federal do Paraná - UTFPR
8650 ;24. Sociología de la Educación y Políticas Educativas;"1FRAGA Paulo César Pontes; 1HELPES Sintia Soares";1 - Universidade Federal de Juiz de Fora
8651 ;24. Sociología de la Educación y Políticas Educativas;1Laura Helena SILVA;1 - IFPA
8652 ;05. Desarrollo Rural y cuestión agraria;1Zoraida Cardenas;1 - Universidad de Caldas
8653 ;18. Salud y Seguridad Social;"1Talita Jabs Eger; 1Andréa Fachel Leal";1 - Universidade Federal do Rio Grande do Sul
8654 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Carlos Rivera Rua;1 - UNIVERSIDAD SAN IGNACIO DE LOYOLA
8655 ;25. Integración Regional, Geopolítica y Desarrollo;"1Roberta Rowsy Amorim de Castro Roberta; 1Ricardo Eduardo de Freitas Maia Ricardo";1 - Universidade Federal do Pará
8656 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1JUAN ALBERTO CASTAÑEDA ALCAINO;1 - universidad alberto hurtado
8657 ;24. Sociología de la Educación y Políticas Educativas;1DAYSEELLEN GUALBERTO LEITE;1 - Universidade Federal de Pernambuco-UFPE, Centro Acadêmico do Agreste-CAA
8658 ;08. Desigualdad, Pobreza y Exclusión Social;"1Edinéa Alcântara; 1Ivson Leon; 1Edvania Cavalcante; 1Jessica Dantas; 1Isabelle Melanie; 1Maria Eduarda Araújo";1 - IFPE
8660 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Valentina Campos Cabral; 1Kevin Efrén Hernández Martínez";1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
8662 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Rahíssa de Azevedo Gomes; 2Samene Batista Pereira Santana; 3Micheline Flôres Porto Dias";1 - Faculdade Independente do Nordeste - Fainor, 2 - Universidade Estadual do Sudoeste da Bahia - UESB, 3 - Universidade Estadual de Santa Cruz - UESC
8664 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Caroline Scherer;1 - UFRGS
8666 ;05. Desarrollo Rural y cuestión agraria;1Julián Juan Martín Del Valle;1 - Universidad Nacional de Santiago del Estero
8667 ;24. Sociología de la Educación y Políticas Educativas;1Rosangela Aparecida Reis Machado;1 - UNINOVE e FMU
8669 ;10. Estudios políticos, Sociojurídicos e Instituciones;"1Antonio Cardarello; 2Sergio David Valenzuela";1 - Instituto de Ciencia Política, Facultad de Ciencias Sociales, Universidad de la República, 2 - Facultad De Humanidades Universidad Nacional del Nordeste / Consejo Nacional de Investigaciones Científicas y Tecnicas
8670 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Sebatian Morales González; 1María José Bustamante Herrera";1 - Universidad Industrial de Santander
8671 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Ivana Muricy;1 - UFBA
8672 ;26. Sociología de los Cuerpos y las Emociones;1Amadeu de farias cavalcante júnior;1 - universidade federal do oeste do Pará
8673 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1MARÍA CRISTINA ROMERO RODRÍGUEZ;1 - Universidad Complutense de Madrid
8674 ;19. Acciones Colectivas y Movimientos Sociales;"1Fabiana Pereira Rosa; 1Gabriel Debastiani de Mello; 1Juliane Danielle dos Santos; 1Victor Hoffmann Moreira";1 - UNICNEC OSORIO
8675 ;17. Trabajo y Restructuración Productiva;1Gustavo Garabito;1 - Universidad de Guanajuato
8676 ;01. Ciencia, Tecnologías e Innovación;1Nicolas Antonio Rojas Muñoz;1 - universidad alberto hurtado
8677 ;18. Salud y Seguridad Social;1Ruth Xiomara Aguilar Rincòn;1 - Universidad de Guanajuato
8678 ;19. Acciones Colectivas y Movimientos Sociales;"1Adália Raissa Alves da Costa; 2Matheus Almeida Pereira Ribeiro";1 - Programa de Pós-graduação em Política Social - Universidade de Brasília (UnB), 2 - Programa de Pós-Graduação em Sociologia - Universidade de Brasília (UnB)
8679 ;22. Sociología del Ocio y el Deporte;1TÚLIO VELHO BARRETO;1 - Fundação Joaquim Nabuco
8681 ;03. Producción, Consumos Culturales y Medios de Comunicación;1SARAH AFFONSO;1 - Universidade Federal de Juiz de Fora
8682 ;19. Acciones Colectivas y Movimientos Sociales;"1Editha Lisbet Julca Gonza; 2Rogerio Gomes";1 - Universidade Federal Rural do Rio de Janeiro - UFRRJ, 2 - Universidade Estadual Paulista 'Julio de Mesquita Filho' - UNESP
8683 ;17. Trabajo y Restructuración Productiva;"1Jorge Souza Alves; 2Pedro Jorge Holanda Alves; 3Renato Silva de Assis";1 - IBGE, 2 - UFPB, 3 - DIEESE
8685 ;13. Teoría Social y Pensamiento Latinoamericano;1MARCO ANTONIO BIN;1 - FIAM-FAAM/ESPM
8686 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Mauricelia Cordeira da Silva;1 - Universidade Federal da Paraíba
8687 ;17. Trabajo y Restructuración Productiva;"1Sandra Leiva Gomez; 2Cesar Ross Orellana";1 - Universidad Arturo Prat, 2 - Universidad de Santiago de Chile
8691 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1CLAUDIO SOUSA;1 - INSTITUTO FEDERAL DE GOIÁS - ANÁPOLIS/GO
8692 ;06. Imaginarios Sociales y Memoria;"1Patricia Goedert Melo; 1Regiane Regina Ribeiro";1 - Universidade Federal do Paraná
8693 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Hernan De la Rosa; 2Luis Brito; 1Abel Carreño";1 - UNIVERSIDAD POPULAR DEL CESAR, 2 - Universidad Popular del Cesra
8694 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Aragon Erico Dasso Junior; 1Rodrigo Almeida Soares; 1Cláucia Piccoli Faganello; 1Thaís Recoba Campodonico; 1Frederico Oderich Muniz; 1Bruna Schubert; 1Íris Pereira Guedes; 2Carlos Honorato Schuch Santos; 1Alexandre Piccoli Faganello";1 - UFRGS, 2 - FURG
8695 ;19. Acciones Colectivas y Movimientos Sociales;1Rafaela Pannain;1 - Cebrap
8696 ;20. Sociología de la Religión;1ALEXANDRE SANGOES;1 - UFBA
8697 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Cristina Alves Barbosa Jordana;1 - Unicamp
8698 ;17. Trabajo y Restructuración Productiva;"1Jorge Souza Alves; 2Renato Silva de Assis; 3Pedro Jorge Holanda Alves";1 - IBGE, 2 - DIEESE, 3 - UFPB
8699 ;24. Sociología de la Educación y Políticas Educativas;1L. Amine Habichayn;1 - Universidad Nacional de Rosario
8700 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1CAMILA SANTANA;1 - Universidade Federal de Santa Catarina
8701 ;22. Sociología del Ocio y el Deporte;1Ailton Laurentino Caris Fagundes;1 - Universidade Federal de Goiás
8703 ;06. Imaginarios Sociales y Memoria;1CÉLIO ALBUQUERQUE;1 - ASSOCIAÇÃO 64/68 ANISTIA
8704 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Sandra Leiva; 2Carolina Stefoni; 2Tomas Marticorena";1 - Universidad Arturo Prat, 2 - universidad alberto hurtado
8705 ;26. Sociología de los Cuerpos y las Emociones;"1María José Guerrero González; 2Josefina Moya";1 - Observatorio Contra el Acoso Callejero, Chile, 2 - Hansen
8706 ;17. Trabajo y Restructuración Productiva;1Cláudia Freire;1 - Universidade Federal de Pernambuco
8707 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Katia Loreley Martínez Merino; 1Guillermo Rivera Ariza";1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
8709 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Thais Pimentel;1 - Universidade Estadual de Maringpa
8710 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Félix Rojo Mendoza;1 - Universidad Catolica de Temuco
8712 ;06. Imaginarios Sociales y Memoria;"1Janaína de Oliveira; 2Jordana Cristina Alves Barbosa";1 - Universidade Federal de Goiás, 2 - Universidade Estadual de Campinas
8713 ;19. Acciones Colectivas y Movimientos Sociales;"1Valentina Campos Cabral; 1Mayeli Saidhy Gama Torres";1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
8714 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1NICOLAS ARRIAGADA SEGUEL; 1JAMES ACUÑA HENRIQUEZ; 1MAITE MORAGA IRRIBARRA; 1ALEJANDRA RAMIREZ FERNANDEZ";1 - Universidad de Concepción
8716 ;18. Salud y Seguridad Social;"1Rafael Nicolau Carvalho; 1Alecsonia Pereira Araújo; 1Priscila Maria Silva; 1Fátima Rafaella Amaral; 1Thays de Oliveira Matias; 2Katiusca Torres Medeiros";1 - Universidade Federal da Paraíba, 2 - Instituto Nacional de Seguro Social
8720 ;06. Imaginarios Sociales y Memoria;1Alejandro Retamal;1 - Universidad Austral de Chile
8721 ;01. Ciencia, Tecnologías e Innovación;1Pedro Mello;1 - UFRGS
8722 ;18. Salud y Seguridad Social;"1Silvia Adriana Faraone; 1Ana Silvia Valero";1 - Instituto de Investigaciones Gino Germani
8723 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Ayna Miranda; 1Juliana Gouveia";1 - Faculdade Mauricio de Nassau (Campus Caruaru-PE)
8724 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Atenágoras Oliveira Duarte;1 - Universidade Federal de Pernambuco
8725 ;17. Trabajo y Restructuración Productiva;1Lívio Matos Brandão;1 - Universidade Federal da Paraíba
8726 ;06. Imaginarios Sociales y Memoria;1Mônica Rebecca Ferrari NUNES;1 - ESPM
8727 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Aleida Azamar Alonso; 1Alelic Natalia Parra Meneses";1 - Universidad Autónoma Metropolitana
8728 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Mónica Velásquez Pineda;1 - Universidad del Valle
8729 ;17. Trabajo y Restructuración Productiva;"1Mônica Paranhos; 2Jorge Custódio";1 - UNESA/UFRJ, 2 - FAETEC Rio de Janeiro
8731 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Simone Silva;1 - UFRJ
8733 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Ailton Laurentino Caris Fagundes; 1Larissa Alvarenga da Silva; 1Daniela Maria Oliveira";1 - Universidade Federal de Goiás
8736 ;19. Acciones Colectivas y Movimientos Sociales;"1Javier Igancio Castillo Reyes; 2Aldo Juan Meneses Carvajal";1 - Universidad Diego Portales, 2 - Universidad de Chile
